Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2009-03-16,,,,1659.59,,
2009-03-17,,,,1649.59,,
2009-03-18,,,,1668.21,,
2009-03-19,,,,1679.08,,
2009-03-20,,,,1662.54,,
2009-03-23,,,,1736.4,,
2009-03-24,,,,1734.68,,
2009-03-25,,,,1752.46,,
2009-03-26,,,,1790.45,,
2009-03-27,,,,1825.7,,
2009-03-30,,,,1763.42,,
2009-03-31,,,,1793.01,,
2009-04-01,,,,1798.86,,
2009-04-02,,,,1846.54,,
2009-04-06,,,,1859.07,,
2009-04-08,,,,1884.0,,
2009-04-09,,,,1901.09,,
2009-04-13,,,,1919.17,,
2009-04-15,,,,1969.69,,
2009-04-16,,,,1912.43,,
2009-04-17,,,,1929.32,,
2009-04-20,,,,1948.59,,
2009-04-21,,,,1935.2,,
2009-04-22,,,,1918.79,,
2009-04-23,,,,1959.98,,
2009-04-24,,,,1993.97,,
2009-04-27,,,,1975.89,,
2009-04-28,,,,1898.35,,
2009-04-29,,,,1949.76,,
2009-05-04,,,,2010.87,,
2009-05-05,,,,2041.79,,
2009-05-06,,,,2009.84,,
2009-05-07,,,,2040.61,,
2009-05-08,,,,2025.03,,
2009-05-11,,,,2003.96,,
2009-05-12,,,,2048.92,,
2009-05-13,,,,2037.03,,
2009-05-14,,,,2033.7,,
2009-05-15,,,,2060.85,,
2009-05-18,,,,2348.3,,
2009-05-19,,,,2368.52,,
2009-05-20,,,,2411.02,,
2009-05-21,,,,2395.29,,
2009-05-22,,,,2420.16,,
2009-05-25,,,,2465.49,,
2009-05-26,,,,2393.57,,
2009-05-27,,,,2461.46,,
2009-05-28,,,,2470.92,,
2009-05-29,,,,2507.13,,
2009-06-01,,,,2568.37,,
2009-06-02,,,,2575.92,,
2009-06-03,,,,2579.71,,
2009-06-04,,,,2622.41,,
2009-06-05,,,,2626.72,,
2009-06-08,,,,2515.28,,
2009-06-09,,,,2592.92,,
2009-06-10,,,,2666.73,,
2009-06-11,,,,2676.82,,
2009-06-12,,,,2621.09,,
2009-06-15,,,,2607.76,,
2009-06-16,,,,2653.37,,
2009-06-17,,,,2557.81,,
2009-06-18,,,,2509.88,,
2009-06-19,,,,2560.42,,
2009-06-22,,,,2537.77,,
2009-06-23,,,,2542.84,,
2009-06-24,,,,2603.56,,
2009-06-25,,,,2589.61,,
2009-06-26,,,,2642.36,,
2009-06-29,,,,2671.26,,
2009-06-30,,,,2624.67,,
2009-07-01,,,,2670.77,,
2009-07-02,,,,2671.78,,
2009-07-03,,,,2715.65,,
2009-07-06,,,,2531.12,,
2009-07-07,,,,2559.51,,
2009-07-08,,,,2475.03,,
2009-07-09,,,,2499.9,,
2009-07-10,,,,2439.64,,
2009-07-13,,,,2378.09,,
2009-07-14,,,,2498.3,,
2009-07-15,,,,2604.64,,
2009-07-16,,,,2591.11,,
2009-07-17,,,,2664.49,,
2009-07-20,,,,2729.13,,
2009-07-21,,,,2714.57,,
2009-07-22,,,,2673.98,,
2009-07-23,,,,2734.13,,
2009-07-24,,,,2756.26,,
2009-07-27,,,,2783.16,,
2009-07-28,,,,2806.65,,
2009-07-29,,,,2788.61,,
2009-07-30,,,,2823.21,,
2009-07-31,,,,2832.97,,
2009-08-03,,,,2891.1,,
2009-08-04,,,,2883.29,,
2009-08-05,,,,2883.1,,
2009-08-06,,,,2809.26,,
2009-08-07,,,,2747.62,,
2009-08-10,,,,2691.29,,
2009-08-11,,,,2720.29,,
2009-08-12,,,,2722.62,,
2009-08-13,,,,2824.1,,
2009-08-14,,,,2817.45,,
2009-08-17,,,,2700.26,,
2009-08-18,,,,2766.56,,
2009-08-19,,,,2725.75,,
2009-08-20,,,,2759.1,,
2009-08-21,,,,2796.7,,
2009-08-24,,,,2856.02,,
2009-08-25,,,,2855.22,,
2009-08-26,,,,2874.74,,
2009-08-27,,,,2869.75,,
2009-08-28,,,,2900.6,,
2009-08-31,,,,2912.61,,
2009-09-01,,,,2892.1,,
2009-09-02,,,,2887.47,,
2009-09-03,,,,2895.41,,
2009-09-04,,,,2928.81,,
2009-09-07,,,,2987.07,,
2009-09-08,,,,2982.78,,
2009-09-09,,,,2982.3,,
2009-09-10,,,,2977.23,,
2009-09-11,,,,2965.34,,
2009-09-14,,,,2980.58,,
2009-09-15,,,,3051.68,,
2009-09-16,,,,3101.36,,
2009-09-17,,,,3095.51,,
2009-09-18,,,,3109.97,,
2009-09-22,,,,3151.45,,
2009-09-23,,,,3115.3,,
2009-09-24,,,,3133.38,,
2009-09-25,,,,3152.39,,
2009-09-29,,,,3162.99,,
2009-09-30,,,,3209.09,,
2009-10-01,,,,3183.1,,
2009-10-05,,,,3123.48,,
2009-10-06,,,,3129.45,,
2009-10-07,,,,3160.63,,
2009-10-08,,,,3190.66,,
2009-10-09,,,,3162.33,,
2009-10-12,,,,3224.27,,
2009-10-14,,,,3298.55,,
2009-10-15,,,,3312.34,,
2009-10-16,,,,3346.8,,
2009-10-17,,,,3361.38,,
2009-10-20,,,,3366.73,,
2009-10-21,,,,3314.01,,
2009-10-22,,,,3253.18,,
2009-10-23,,,,3301.1,,
2009-10-26,,,,3273.59,,
2009-10-27,,,,3161.33,,
2009-10-28,,,,3175.86,,
2009-10-29,,,,3104.03,,
2009-10-30,,,,3086.27,,
2009-11-03,,,,2976.74,,
2009-11-04,,,,3089.8,,
2009-11-05,,,,3166.88,,
2009-11-06,,,,3247.76,,
2009-11-09,,,,3330.43,,
2009-11-10,,,,3314.04,,
2009-11-11,,,,3398.38,,
2009-11-12,,,,3347.83,,
2009-11-13,,,,3369.66,,
2009-11-16,,,,3410.3,,
2009-11-17,,,,3410.46,,
2009-11-18,,,,3421.93,,
2009-11-19,,,,3355.03,,
2009-11-20,,,,3384.52,,
2009-11-23,,,,3393.11,,
2009-11-24,,,,3411.49,,
2009-11-25,,,,3416.87,,
2009-11-26,,,,3359.63,,
2009-11-27,,,,3319.21,,
2009-11-30,,,,3380.42,,
2009-12-01,,,,3429.99,,
2009-12-02,,,,3432.28,,
2009-12-03,,,,3464.58,,
2009-12-04,,,,3464.77,,
2009-12-07,,,,3424.57,,
2009-12-08,,,,3457.87,,
2009-12-09,,,,3435.04,,
2009-12-10,,,,3444.92,,
2009-12-11,,,,3426.39,,
2009-12-14,,,,3408.93,,
2009-12-15,,,,3356.38,,
2009-12-16,,,,3356.97,,
2009-12-17,,,,3382.97,,
2009-12-18,,,,3350.89,,
2009-12-21,,,,3317.45,,
2009-12-22,,,,3350.99,,
2009-12-23,,,,3419.4,,
2009-12-24,,,,3427.79,,
2009-12-29,,,,3436.48,,
2009-12-30,,,,3451.61,,
2009-12-31,,,,3476.84,,
2010-01-04,,,,3521.89,,
2010-01-05,,,,3554.25,,
2010-01-06,,,,3565.81,,
2010-01-07,,,,3561.3,,
2010-01-08,,,,3543.29,,
2010-01-11,,,,3565.4,,
2010-01-12,,,,3568.08,,
2010-01-13,,,,3585.74,,
2010-01-14,,,,3628.48,,
2010-01-15,,,,3622.22,,
2010-01-18,,,,3619.34,,
2010-01-19,,,,3597.37,,
2010-01-20,,,,3621.99,,
2010-01-21,,,,3532.37,,
2010-01-22,,,,3493.7,,
2010-01-25,,,,3452.14,,
2010-01-27,,,,3277.36,,
2010-01-28,,,,3301.86,,
2010-01-29,,,,3304.75,,
2010-02-01,,,,3373.69,,
2010-02-02,,,,3335.95,,
2010-02-03,,,,3402.62,,
2010-02-04,,,,3331.19,,
2010-02-05,,,,3232.35,,
2010-02-06,,,,3278.25,,
2010-02-08,,,,3270.72,,
2010-02-09,,,,3309.86,,
2010-02-10,,,,3294.65,,
2010-02-11,,,,3346.05,,
2010-02-15,,,,3337.05,,
2010-02-16,,,,3356.15,,
2010-02-17,,,,3392.42,,
2010-02-18,,,,3363.0,,
2010-02-19,,,,3302.97,,
2010-02-22,,,,3284.5,,
2010-02-23,,,,3262.82,,
2010-02-24,,,,3244.22,,
2010-02-25,,,,3221.04,,
2010-02-26,,,,3277.25,,
2010-03-02,,,,3365.74,,
2010-03-03,,,,3424.85,,
2010-03-04,,,,3465.44,,
2010-03-05,,,,3481.61,,
2010-03-08,,,,3504.44,,
2010-03-09,,,,3481.01,,
2010-03-10,,,,3473.03,,
2010-03-11,,,,3460.79,,
2010-03-12,,,,3465.67,,
2010-03-15,,,,3447.66,,
2010-03-16,,,,3490.29,,
2010-03-17,,,,3513.27,,
2010-03-18,,,,3527.12,,
2010-03-19,,,,3534.67,,
2010-03-22,,,,3496.54,,
2010-03-23,,,,3511.4,,
2010-03-25,,,,3531.84,,
2010-03-26,,,,3554.92,,
2010-03-29,,,,3542.25,,
2010-03-30,,,,3526.17,,
2010-03-31,,,,3529.18,,
2010-04-01,,,,3579.97,,
2010-04-05,,,,3629.15,,
2010-04-06,,,,3629.89,,
2010-04-07,,,,3648.02,,
2010-04-08,,,,3625.21,,
2010-04-09,,,,3650.73,,
2010-04-12,,,,3639.5,,
2010-04-13,,,,3636.51,,
2010-04-15,,,,3625.74,,
2010-04-16,,,,3604.37,,
2010-04-19,,,,3575.35,,
2010-04-20,,,,3610.7,,
2010-04-21,,,,3640.2,,
2010-04-22,,,,3639.12,,
2010-04-23,,,,3650.85,,
2010-04-26,,,,3681.8,,
2010-04-27,,,,3649.56,,
2010-04-28,,,,3594.32,,
2010-04-29,,,,3628.01,,
2010-04-30,,,,3659.35,,
2010-05-03,,,,3616.14,,
2010-05-04,,,,3549.55,,
2010-05-05,,,,3541.19,,
2010-05-06,,,,3551.96,,
2010-05-07,,,,3448.29,,
2010-05-10,,,,3545.51,,
2010-05-11,,,,3491.99,,
2010-05-12,,,,3506.77,,
2010-05-13,,,,3532.84,,
2010-05-14,,,,3489.75,,
2010-05-17,,,,3465.21,,
2010-05-18,,,,3469.84,,
2010-05-19,,,,3353.69,,
2010-05-20,,,,3360.12,,
2010-05-21,,,,3307.06,,
2010-05-24,,,,3311.51,,
2010-05-25,,,,3190.67,,
2010-05-26,,,,3246.45,,
2010-05-27,,,,3273.95,,
2010-05-28,,,,3340.93,,
2010-05-31,,,,3384.99,,
2010-06-01,,,,3332.71,,
2010-06-02,,,,3360.13,,
2010-06-03,,,,3406.76,,
2010-06-04,,,,3398.73,,
2010-06-07,,,,3335.79,,
2010-06-08,,,,3316.87,,
2010-06-09,,,,3320.13,,
2010-06-10,,,,3360.71,,
2010-06-11,,,,3385.74,,
2010-06-14,,,,3417.09,,
2010-06-15,,,,3437.17,,
2010-06-16,,,,3440.81,,
2010-06-17,,,,3458.51,,
2010-06-18,,,,3442.24,,
2010-06-21,,,,3494.01,,
2010-06-22,,,,3490.45,,
2010-06-23,,,,3514.99,,
2010-06-24,,,,3513.43,,
2010-06-25,,,,3479.4,,
2010-06-28,,,,3513.94,,
2010-06-29,,,,3485.02,,
2010-06-30,,,,3497.09,,
2010-07-01,,,,3494.88,,
2010-07-02,,,,3488.86,,
2010-07-05,,,,3500.95,,
2010-07-06,,,,3536.79,,
2010-07-07,,,,3525.82,,
2010-07-08,,,,3566.22,,
2010-07-09,,,,3586.66,,
2010-07-12,,,,3589.02,,
2010-07-13,,,,3592.95,,
2010-07-14,,,,3596.91,,
2010-07-15,,,,3617.64,,
2010-07-16,,,,3638.86,,
2010-07-19,,,,3628.73,,
2010-07-20,,,,3613.47,,
2010-07-21,,,,3636.7,,
2010-07-22,,,,3647.05,,
2010-07-23,,,,3643.11,,
2010-07-26,,,,3615.45,,
2010-07-27,,,,3628.87,,
2010-07-28,,,,3632.14,,
2010-07-29,,,,3634.85,,
2010-07-30,,,,3629.12,,
2010-08-02,,,,3669.47,,
2010-08-03,,,,3689.76,,
2010-08-04,,,,3687.96,,
2010-08-05,,,,3693.45,,
2010-08-06,,,,3703.39,,
2010-08-09,,,,3741.57,,
2010-08-10,,,,3727.56,,
2010-08-11,,,,3708.5,,
2010-08-12,,,,3726.56,,
2010-08-13,,,,3764.61,,
2010-08-16,,,,3764.25,,
2010-08-17,,,,3777.93,,
2010-08-18,,,,3821.27,,
2010-08-19,,,,3861.9,,
2010-08-20,,,,3867.66,,
2010-08-23,,,,3908.38,,
2010-08-24,,,,3891.39,,
2010-08-25,,,,3836.84,,
2010-08-26,,,,3847.05,,
2010-08-27,,,,3826.31,,
2010-08-30,,,,3828.34,,
2010-08-31,,,,3802.28,,
2010-09-01,,,,3841.44,,
2010-09-02,,,,3879.13,,
2010-09-03,,,,3926.94,,
2010-09-06,,,,3997.99,,
2010-09-07,,,,3988.59,,
2010-09-08,,,,3978.56,,
2010-09-09,,,,3976.25,,
2010-09-13,,,,4000.8,,
2010-09-14,,,,3998.99,,
2010-09-15,,,,4003.61,,
2010-09-16,,,,3980.86,,
2010-09-17,,,,4064.1,,
2010-09-20,,,,4072.96,,
2010-09-21,,,,4043.43,,
2010-09-22,,,,4016.57,,
2010-09-23,,,,4005.96,,
2010-09-24,,,,4048.58,,
2010-09-27,,,,4066.48,,
2010-09-28,,,,4066.22,,
2010-09-29,,,,4048.55,,
2010-09-30,,,,4030.93,,
2010-10-01,,,,4109.64,,
2010-10-04,,,,4142.08,,
2010-10-05,,,,4181.77,,
2010-10-06,,,,4209.86,,
2010-10-07,,,,4192.71,,
2010-10-08,,,,4164.26,,
2010-10-11,,,,4207.3,,
2010-10-12,,,,4183.17,,
2010-10-13,,,,4221.35,,
2010-10-14,,,,4199.26,,
2010-10-15,,,,4144.87,,
2010-10-18,,,,4126.48,,
2010-10-19,,,,4114.96,,
2010-10-20,,,,4114.72,,
2010-10-21,,,,4166.86,,
2010-10-22,,,,4172.1,,
2010-10-25,,,,4217.14,,
2010-10-26,,,,4238.74,,
2010-10-27,,,,4250.29,,
2010-10-28,,,,4219.71,,
2010-10-29,,,,4227.03,,
2010-11-01,,,,4304.67,,
2010-11-02,,,,4316.49,,
2010-11-03,,,,4328.99,,
2010-11-04,,,,4363.6,,
2010-11-05,,,,4384.19,,
2010-11-08,,,,4375.78,,
2010-11-09,,,,4420.55,,
2010-11-10,,,,4434.75,,
2010-11-11,,,,4380.71,,
2010-11-12,,,,4284.22,,
2010-11-15,,,,4314.53,,
2010-11-16,,,,4235.69,,
2010-11-18,,,,4237.85,,
2010-11-19,,,,4174.97,,
2010-11-22,,,,4259.67,,
2010-11-23,,,,4224.35,,
2010-11-24,,,,4189.8,,
2010-11-25,,,,4107.2,,
2010-11-26,,,,4019.68,,
2010-11-29,,,,4053.04,,
2010-11-30,,,,4112.94,,
2010-12-01,,,,4206.91,,
2010-12-02,,,,4242.27,,
2010-12-03,,,,4181.68,,
2010-12-06,,,,4154.82,,
2010-12-07,,,,4101.03,,
2010-12-08,,,,4006.73,,
2010-12-09,,,,3852.72,,
2010-12-10,,,,3901.37,,
2010-12-13,,,,3945.06,,
2010-12-14,,,,4002.21,,
2010-12-15,,,,3946.21,,
2010-12-16,,,,3952.0,,
2010-12-20,,,,3959.09,,
2010-12-21,,,,3982.22,,
2010-12-22,,,,3976.34,,
2010-12-23,,,,3956.1,,
2010-12-24,,,,3960.18,,
2010-12-27,,,,3946.01,,
2010-12-28,,,,3974.8,,
2010-12-29,,,,3992.53,,
2010-12-30,,,,4017.0,,
2010-12-31,,,,4066.85,,
2011-01-03,,,,4104.4,,
2011-01-04,,,,4083.72,,
2011-01-05,,,,4011.71,,
2011-01-06,,,,3958.36,,
2011-01-07,,,,3846.81,,
2011-01-10,,,,3757.11,,
2011-01-11,,,,3741.58,,
2011-01-12,,,,3836.73,,
2011-01-13,,,,3795.22,,
2011-01-14,,,,3734.39,,
2011-01-17,,,,3704.25,,
2011-01-18,,,,3738.3,,
2011-01-19,,,,3761.15,,
2011-01-20,,,,3779.94,,
2011-01-21,,,,3783.44,,
2011-01-24,,,,3811.77,,
2011-01-25,,,,3768.07,,
2011-01-27,,,,3689.24,,
2011-01-28,,,,3579.81,,
2011-01-31,,,,3611.75,,
2011-02-01,,,,3536.6,,
2011-02-02,,,,3534.41,,
2011-02-03,,,,3573.65,,
2011-02-04,,,,3511.41,,
2011-02-07,,,,3481.73,,
2011-02-08,,,,3386.04,,
2011-02-09,,,,3284.64,,
2011-02-10,,,,3311.26,,
2011-02-11,,,,3421.41,,
2011-02-14,,,,3553.02,,
2011-02-15,,,,3562.46,,
2011-02-16,,,,3565.83,,
2011-02-17,,,,3598.92,,
2011-02-18,,,,3529.18,,
2011-02-21,,,,3548.82,,
2011-02-22,,,,3506.03,,
2011-02-23,,,,3475.06,,
2011-02-24,,,,3345.14,,
2011-02-25,,,,3364.29,,
2011-02-28,,,,3388.18,,
2011-03-01,,,,3544.92,,
2011-03-03,,,,3542.66,,
2011-03-04,,,,3546.19,,
2011-03-07,,,,3504.87,,
2011-03-08,,,,3544.33,,
2011-03-09,,,,3578.72,,
2011-03-10,,,,3565.11,,
2011-03-11,,,,3535.0,,
2011-03-14,,,,3566.11,,
2011-03-15,,,,3515.93,,
2011-03-16,,,,3572.78,,
2011-03-17,,,,3568.55,,
2011-03-18,,,,3535.1,,
2011-03-21,,,,3527.69,,
2011-03-22,,,,3565.35,,
2011-03-23,,,,3599.48,,
2011-03-24,,,,3624.08,,
2011-03-25,,,,3666.9,,
2011-03-28,,,,3692.49,,
2011-03-29,,,,3696.89,,
2011-03-30,,,,3750.21,,
2011-03-31,,,,3764.06,,
2011-04-01,,,,3816.43,,
2011-04-04,,,,3876.86,,
2011-04-05,,,,3918.04,,
2011-04-06,,,,3908.45,,
2011-04-07,,,,3926.31,,
2011-04-08,,,,3877.26,,
2011-04-11,,,,3859.07,,
2011-04-13,,,,3928.72,,
2011-04-15,,,,3931.34,,
2011-04-18,,,,3877.99,,
2011-04-19,,,,3916.43,,
2011-04-20,,,,3971.52,,
2011-04-21,,,,3943.89,,
2011-04-25,,,,3965.26,,
2011-04-26,,,,3954.27,,
2011-04-27,,,,3970.67,,
2011-04-28,,,,3941.49,,
2011-04-29,,,,3885.14,,
2011-05-02,,,,3841.89,,
2011-05-03,,,,3767.9,,
2011-05-04,,,,3760.48,,
2011-05-05,,,,3713.47,,
2011-05-06,,,,3801.12,,
2011-05-09,,,,3827.47,,
2011-05-10,,,,3825.85,,
2011-05-11,,,,3867.3,,
2011-05-12,,,,3803.95,,
2011-05-13,,,,3833.13,,
2011-05-16,,,,3807.5,,
2011-05-17,,,,3780.36,,
2011-05-18,,,,3751.97,,
2011-05-19,,,,3727.82,,
2011-05-20,,,,3760.96,,
2011-05-23,,,,3694.57,,
2011-05-24,,,,3718.89,,
2011-05-25,,,,3706.33,,
2011-05-26,,,,3738.68,,
2011-05-27,,,,3794.17,,
2011-05-30,,,,3830.68,,
2011-05-31,,,,3902.24,,
2011-06-01,,,,3926.9,,
2011-06-02,,,,3886.79,,
2011-06-03,,,,3871.07,,
